Calibration measurement with Solartron  
Metronix GmbH, Neue Knochenhauerstr.5, 38100 Braunschweig  
  
  Magnetometer: 120    Date: 07/24/99    Time: 17:20:56  
  
  

 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg      
Chopper on   
+1.0000E-01  +2.0018E-01  +8.8391E+01  
+1.2589E-01  +2.0006E-01  +8.7972E+01  
+1.5849E-01  +1.9971E-01  +8.7513E+01  
+1.9953E-01  +1.9992E-01  +8.6888E+01  
+2.5119E-01  +1.9941E-01  +8.6069E+01  
+3.9811E-01  +1.9786E-01  +8.3896E+01  
+5.0119E-01  +1.9692E-01  +8.2472E+01  
+6.3095E-01  +1.9574E-01  +8.0677E+01  
+7.9430E-01  +1.9430E-01  +7.8417E+01  
+1.0000E+00  +1.9254E-01  +7.6050E+01  
+1.2589E+00  +1.8798E-01  +7.2650E+01  
+1.5849E+00  +1.8451E-01  +6.8491E+01  
+1.9952E+00  +1.7695E-01  +6.3993E+01  
+2.5119E+00  +1.6814E-01  +5.8523E+01  
+3.1623E+00  +1.5607E-01  +5.2341E+01  
+3.9810E+00  +1.4219E-01  +4.6157E+01  
+5.0118E+00  +1.2548E-01  +3.9596E+01  
+6.3095E+00  +1.0730E-01  +3.3066E+01  
+7.9430E+00  +9.0629E-02  +2.7357E+01  
+1.0000E+01  +7.5100E-02  +2.2244E+01  
+1.2589E+01  +6.1167E-02  +1.7995E+01  
+1.9952E+01  +3.9743E-02  +1.1168E+01  
+2.5119E+01  +3.1797E-02  +8.8932E+00  
+3.1622E+01  +2.5383E-02  +6.7761E+00  
+3.9810E+01  +2.0199E-02  +5.2494E+00  
+6.3095E+01  +1.2776E-02  +2.7150E+00  
+7.9430E+01  +1.0120E-02  +1.8414E+00  
+1.0000E+02  +8.0358E-03  +9.6771E-01  
+1.2589E+02  +6.3829E-03  +2.3517E-01  
+1.5849E+02  +5.0794E-03  -6.8022E-01  
+1.9952E+02  +4.0209E-03  -1.2507E+00  
+2.5118E+02  +3.1907E-03  -2.1162E+00  
+3.1622E+02  +2.5314E-03  -2.9295E+00  
+3.9810E+02  +2.0069E-03  -3.9365E+00  
+5.0118E+02  +1.5890E-03  -5.0850E+00  
+6.3094E+02  +1.2592E-03  -6.5039E+00  
+7.9430E+02  +9.9465E-04  -8.2511E+00  
+1.0000E+03  +7.8690E-04  -1.0596E+01  
+1.2589E+03  +6.1099E-04  -1.3511E+01  
+1.5849E+03  +4.7316E-04  -1.6393E+01  
+1.9952E+03  +3.6129E-04  -1.9534E+01  
+2.5118E+03  +2.7240E-04  -2.1701E+01  
+3.1622E+03  +2.1521E-04  -2.1795E+01  
+3.9810E+03  +1.8452E-04  -2.7814E+01  
+5.0117E+03  +1.4394E-04  -3.9866E+01  
+6.3094E+03  +1.0348E-04  -5.1527E+01  
+7.9430E+03  +7.1322E-05  -6.2347E+01  
+9.9995E+03  +4.7964E-05  -7.2085E+01  
+1.0000E+04  +4.7974E-05  -7.2065E+01  
  

 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg      
Chopper off      
+1.0000E-01  +3.1000E-02  +1.7637E+02  
+1.2589E-01  +3.9847E-02  +1.7484E+02  
