Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: MFS06#052    Date: 26/03/02    Time: 12:50:13


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0091E-01  +8.8484E+01   
+1.2589E-01  +2.0072E-01  +8.8121E+01   
+1.5849E-01  +2.0049E-01  +8.7688E+01   
+1.9953E-01  +2.0002E-01  +8.7112E+01   
+2.5119E-01  +2.0002E-01  +8.6392E+01   
+3.1623E-01  +1.9951E-01  +8.5499E+01   
+3.9811E-01  +1.9938E-01  +8.4354E+01   
+5.0119E-01  +1.9889E-01  +8.2947E+01   
+6.3095E-01  +1.9794E-01  +8.1184E+01   
+7.9430E-01  +1.9644E-01  +7.8986E+01   
+1.0000E+00  +1.9397E-01  +7.6334E+01   
+1.2589E+00  +1.9139E-01  +7.2977E+01   
+1.5849E+00  +1.8650E-01  +6.8708E+01   
+1.9952E+00  +1.7993E-01  +6.4215E+01   
+2.5119E+00  +1.7127E-01  +5.8737E+01   
+3.1623E+00  +1.5852E-01  +5.2446E+01   
+3.9810E+00  +1.4368E-01  +4.5914E+01   
+5.0118E+00  +1.2698E-01  +3.9654E+01   
+6.3095E+00  +1.1010E-01  +3.3222E+01   
+7.9430E+00  +9.2287E-02  +2.7357E+01   
+1.0000E+01  +7.6537E-02  +2.2429E+01   
+1.2589E+01  +6.2672E-02  +1.7709E+01   
+1.5849E+01  +5.0486E-02  +1.4515E+01   
+1.9952E+01  +4.0620E-02  +1.1526E+01   
+2.5119E+01  +3.2517E-02  +9.2029E+00   
+3.1622E+01  +2.5992E-02  +7.1213E+00   
+3.9810E+01  +2.0612E-02  +5.6079E+00   
+5.0118E+01  +1.6486E-02  +3.4955E+00   
+6.3095E+01  +1.3077E-02  +3.2221E+00   
+7.9430E+01  +1.0391E-02  +2.3003E+00   
+1.0000E+02  +8.3077E-03  +1.5665E+00   
+1.2589E+02  +6.5695E-03  +8.3292E-01   
+1.5849E+02  +5.2255E-03  +2.7642E-01   
+1.9952E+02  +4.1433E-03  -5.5632E-01   
+2.5118E+02  +3.2969E-03  -1.2102E+00   
+3.1622E+02  +2.6086E-03  -2.3370E+00   
+3.9810E+02  +2.0640E-03  -2.8829E+00   
+5.0118E+02  +1.6394E-03  -3.7336E+00   
+6.3094E+02  +1.3017E-03  -4.8288E+00   
+7.9430E+02  +1.0334E-03  -6.2125E+00   
+1.0000E+03  +8.1869E-04  -7.9083E+00   
+1.2589E+03  +6.4903E-04  -9.9824E+00   
+1.5849E+03  +5.1462E-04  -1.2453E+01   
+1.9952E+03  +4.1980E-04  -1.5593E+01   
+2.5118E+03  +3.1416E-04  -2.2934E+01   
+3.1622E+03  +2.4115E-04  -2.7854E+01   
+3.9810E+03  +1.7936E-04  -3.5434E+01   
+5.0117E+03  +1.1784E-04  -4.1967E+01   
+6.3094E+03  +8.8023E-05  -3.6643E+01   
+7.9430E+03  +7.2547E-05  -4.3941E+01   
+9.9995E+03  +5.4421E-05  -5.4473E+01   
+1.0000E+04  +5.4415E-05  -5.4480E+01   
                                        
                               
 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg          
Chopper Off
+1.0000E+00  +1.8387E-01  +1.1592E+02   
+1.2589E+00  +1.9735E-01  +1.0522E+02   
+1.5849E+00  +2.0333E-01  +9.4233E+01   
+1.9953E+00  +2.0255E-01  +8.2846E+01   
+2.5119E+00  +1.9421E-01  +7.1788E+01   
+3.1623E+00  +1.7965E-01  +6.1241E+01   
+3.9811E+00  +1.5998E-01  +5.1313E+01   
+5.0119E+00  +1.3848E-01  +4.2371E+01   
+6.3095E+00  +1.1624E-01  +3.4380E+01   
+7.9430E+00  +9.6535E-02  +2.8032E+01   
+1.0000E+01  +7.8797E-02  +2.2524E+01   
+1.2589E+01  +6.3806E-02  +1.8090E+01   
+1.5849E+01  +5.1220E-02  +1.4361E+01   
+1.9952E+01  +4.0989E-02  +1.1413E+01   
+2.5119E+01  +3.2706E-02  +8.9585E+00   
+3.1623E+01  +2.6047E-02  +6.9711E+00   
+3.9810E+01  +2.0693E-02  +5.5011E+00   
+5.0118E+01  +1.6707E-02  +4.0033E+00   
+6.3095E+01  +1.3096E-02  +3.1373E+00   
+7.9430E+01  +1.0415E-02  +2.2349E+00   
+1.0000E+02  +8.2321E-03  +1.6497E+00   
+1.2589E+02  +6.5755E-03  +7.9307E-01   
+1.5849E+02  +5.2329E-03  +4.0764E-02   
+1.9952E+02  +4.1503E-03  -4.5263E-01   
+2.5119E+02  +3.3031E-03  -1.4093E+00   
+3.1622E+02  +2.6112E-03  -2.3394E+00   
+3.9810E+02  +2.0662E-03  -2.8576E+00   
+5.0118E+02  +1.6413E-03  -3.7208E+00   
+6.3095E+02  +1.3034E-03  -4.8298E+00   
+7.9430E+02  +1.0340E-03  -6.2060E+00   
+1.0000E+03  +8.2005E-04  -7.8903E+00   
+1.2589E+03  +6.4983E-04  -9.9480E+00   
+1.5849E+03  +5.1533E-04  -1.2396E+01   
+1.9952E+03  +4.2136E-04  -1.5402E+01   
+2.5118E+03  +3.1435E-04  -2.3009E+01   
+3.1622E+03  +2.4137E-04  -2.7814E+01   
+3.9810E+03  +1.7958E-04  -3.5322E+01   
+5.0118E+03  +1.1827E-04  -4.1844E+01   
+6.3094E+03  +8.8305E-05  -3.6648E+01   
+7.9430E+03  +7.2700E-05  -4.3915E+01   
+1.0000E+04  +5.4538E-05  -5.4402E+01   
