Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: MFS06 #113    Date: 18/11/02    Time: 12:13:07

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9993E-01  +8.8536E+01    
+1.2589E-01  +2.0013E-01  +8.8162E+01    
+1.5849E-01  +1.9985E-01  +8.7717E+01    
+1.9953E-01  +1.9949E-01  +8.7159E+01    
+2.5119E-01  +1.9974E-01  +8.6439E+01    
+3.1623E-01  +1.9961E-01  +8.5524E+01    
+3.9811E-01  +1.9918E-01  +8.4394E+01    
+5.0119E-01  +1.9844E-01  +8.2993E+01    
+6.3095E-01  +1.9745E-01  +8.1252E+01    
+7.9430E-01  +1.9640E-01  +7.9056E+01    
+1.0000E+00  +1.9423E-01  +7.6311E+01    
+1.2589E+00  +1.9110E-01  +7.3033E+01    
+1.5849E+00  +1.8648E-01  +6.9013E+01    
+1.9952E+00  +1.7996E-01  +6.4258E+01    
+2.5119E+00  +1.7076E-01  +5.8756E+01    
+3.1623E+00  +1.5873E-01  +5.2679E+01    
+3.9810E+00  +1.4409E-01  +4.6243E+01    
+5.0118E+00  +1.2726E-01  +3.9648E+01    
+6.3095E+00  +1.0975E-01  +3.3391E+01    
+7.9430E+00  +9.2434E-02  +2.7554E+01    
+1.0000E+01  +7.6537E-02  +2.2510E+01    
+1.2589E+01  +6.2520E-02  +1.8212E+01    
+1.5849E+01  +5.0522E-02  +1.4468E+01    
+1.9952E+01  +4.0671E-02  +1.1616E+01    
+2.5119E+01  +3.2566E-02  +9.1711E+00    
+3.1622E+01  +2.5979E-02  +7.1993E+00    
+3.9810E+01  +2.0726E-02  +5.6322E+00    
+5.0118E+01  +1.6500E-02  +4.2249E+00    
+6.3095E+01  +1.3108E-02  +3.2672E+00    
+7.9430E+01  +1.0420E-02  +2.3589E+00    
+1.0000E+02  +8.2424E-03  +1.3438E+00    
+1.2589E+02  +6.5774E-03  +8.9452E-01    
+1.5849E+02  +5.2329E-03  +3.4836E-01    
+1.9952E+02  +4.1578E-03  -4.4677E-01    
+2.5118E+02  +3.3055E-03  -1.1250E+00    
+3.1622E+02  +2.6170E-03  -2.2217E+00    
+3.9810E+02  +2.0701E-03  -2.7486E+00    
+5.0118E+02  +1.6449E-03  -3.5963E+00    
+6.3094E+02  +1.3061E-03  -4.7046E+00    
+7.9430E+02  +1.0366E-03  -6.0326E+00    
+1.0000E+03  +8.2205E-04  -7.7398E+00    
+1.2589E+03  +6.5110E-04  -9.8345E+00    
+1.5849E+03  +5.1555E-04  -1.2465E+01    
+1.9952E+03  +4.0965E-04  -1.6150E+01    
+2.5118E+03  +3.1518E-04  -2.0689E+01    
+3.1622E+03  +2.4433E-04  -2.5913E+01    
+3.9810E+03  +1.8380E-04  -3.3227E+01    
+5.0117E+03  +1.2521E-04  -4.0055E+01    
+6.3094E+03  +9.1612E-05  -3.7635E+01    
+7.9430E+03  +7.4052E-05  -4.3759E+01    
+9.9995E+03  +5.6014E-05  -5.3495E+01    
+1.0000E+04  +5.6017E-05  -5.3500E+01    
                          

 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off                              
+1.0000E+00  +1.8916E-01  +1.1263E+02    
+1.2589E+00  +2.0093E-01  +1.0195E+02    
+1.5849E+00  +2.0581E-01  +9.1030E+01    
+1.9953E+00  +2.0236E-01  +7.9939E+01    
+2.5119E+00  +1.9211E-01  +6.9066E+01    
+3.1623E+00  +1.7585E-01  +5.8726E+01    
+3.9811E+00  +1.5558E-01  +4.9125E+01    
+5.0119E+00  +1.3388E-01  +4.0511E+01    
+6.3095E+00  +1.1234E-01  +3.2990E+01    
+7.9430E+00  +9.2711E-02  +2.6704E+01    
+1.0000E+01  +7.5491E-02  +2.1461E+01    
+1.2589E+01  +6.0971E-02  +1.7175E+01    
+1.5849E+01  +4.8917E-02  +1.3701E+01    
+1.9952E+01  +3.9155E-02  +1.0821E+01    
+2.5119E+01  +3.1250E-02  +8.5459E+00    
+3.1623E+01  +2.4891E-02  +6.7037E+00    
+3.9810E+01  +1.9818E-02  +5.1947E+00    
+5.0118E+01  +1.5908E-02  +3.7752E+00    
+6.3095E+01  +1.2514E-02  +2.9976E+00    
+7.9430E+01  +9.9455E-03  +2.1232E+00    
+1.0000E+02  +7.8894E-03  +7.1164E-01    
+1.2589E+02  +6.2791E-03  +7.6952E-01    
+1.5849E+02  +4.9958E-03  +2.1625E-01    
+1.9952E+02  +3.9673E-03  -4.7408E-01    
+2.5119E+02  +3.1508E-03  -1.2261E+00    
+3.1622E+02  +2.4939E-03  -2.1732E+00    
+3.9810E+02  +1.9736E-03  -2.6547E+00    
+5.0118E+02  +1.5679E-03  -3.4449E+00    
+6.3095E+02  +1.2450E-03  -4.4939E+00    
+7.9430E+02  +9.8784E-04  -5.8160E+00    
+1.0000E+03  +7.8323E-04  -7.4273E+00    
+1.2589E+03  +6.2036E-04  -9.4355E+00    
+1.5849E+03  +4.9058E-04  -1.1946E+01    
+1.9952E+03  +3.8771E-04  -1.5129E+01    
+2.5118E+03  +3.0175E-04  -1.9588E+01    
+3.1622E+03  +2.3467E-04  -2.4289E+01    
+3.9810E+03  +1.8037E-04  -3.0506E+01    
+5.0118E+03  +1.3132E-04  -3.8731E+01    
+6.3094E+03  +8.7822E-05  -4.2024E+01    
+7.9430E+03  +6.8575E-05  -4.3262E+01    
+1.0000E+04  +5.2847E-05  -5.1636E+01    
   
