Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: MFS-06 #129    Date: 12/09/03    Time: 11:58:45


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0050E-01  +8.8459E+01    
+1.2589E-01  +2.0065E-01  +8.8072E+01    
+1.5849E-01  +2.0029E-01  +8.7587E+01    
+1.9953E-01  +2.0056E-01  +8.6997E+01    
+2.5119E-01  +2.0055E-01  +8.6198E+01    
+3.1623E-01  +2.0017E-01  +8.5225E+01    
+3.9811E-01  +1.9965E-01  +8.4001E+01    
+5.0119E-01  +1.9894E-01  +8.2500E+01    
+6.3095E-01  +1.9775E-01  +8.0629E+01    
+7.9430E-01  +1.9655E-01  +7.8269E+01    
+1.0000E+00  +1.9452E-01  +7.5281E+01    
+1.2589E+00  +1.9065E-01  +7.1784E+01    
+1.5849E+00  +1.8554E-01  +6.7520E+01    
+1.9952E+00  +1.7793E-01  +6.2574E+01    
+2.5119E+00  +1.6783E-01  +5.6866E+01    
+3.1623E+00  +1.5493E-01  +5.0644E+01    
+3.9810E+00  +1.3956E-01  +4.4131E+01    
+5.0118E+00  +1.2217E-01  +3.7637E+01    
+6.3095E+00  +1.0462E-01  +3.1457E+01    
+7.9430E+00  +8.7483E-02  +2.5822E+01    
+1.0000E+01  +7.2093E-02  +2.1039E+01    
+1.2589E+01  +5.8719E-02  +1.6951E+01    
+1.5849E+01  +4.7400E-02  +1.3516E+01    
+1.9952E+01  +3.8036E-02  +1.0849E+01    
+2.5119E+01  +3.0423E-02  +8.5447E+00    
+3.1622E+01  +2.4225E-02  +6.7241E+00    
+3.9810E+01  +1.9309E-02  +5.1888E+00    
+5.0118E+01  +1.4648E-02  +3.4749E+00    
+6.3095E+01  +1.2239E-02  +2.9629E+00    
+7.9430E+01  +9.7321E-03  +2.1479E+00    
+1.0000E+02  +7.7062E-03  +1.4644E+00    
+1.2589E+02  +6.1293E-03  +7.6694E-01    
+1.5849E+02  +4.8428E-03  +1.1326E-01    
+1.9952E+02  +3.8743E-03  -4.3173E-01    
+2.5118E+02  +3.0860E-03  -1.1540E+00    
+3.1622E+02  +2.4383E-03  -2.0719E+00    
+3.9810E+02  +1.9288E-03  -2.5513E+00    
+5.0118E+02  +1.5326E-03  -3.3120E+00    
+6.3094E+02  +1.2172E-03  -4.3059E+00    
+7.9430E+02  +9.6561E-04  -5.5130E+00    
+1.0000E+03  +7.6602E-04  -7.0695E+00    
+1.2589E+03  +6.0677E-04  -8.9843E+00    
+1.5849E+03  +4.8036E-04  -1.1392E+01    
+1.9952E+03  +3.7952E-04  -1.4533E+01    
+2.5118E+03  +2.9585E-04  -1.8512E+01    
+3.1622E+03  +2.3057E-04  -2.3222E+01    
+3.9810E+03  +1.7591E-04  -2.9685E+01    
+5.0117E+03  +1.2568E-04  -3.7060E+01    
+6.3094E+03  +8.7921E-05  -3.7601E+01    
+7.9430E+03  +7.0110E-05  -4.1314E+01    
+9.9995E+03  +5.3619E-05  -5.0047E+01    
+1.0000E+04  +5.3620E-05  -5.0048E+01    
                                         
                                
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8541E-01  +1.1519E+02    
+1.2589E+00  +1.9884E-01  +1.0424E+02    
+1.5849E+00  +2.0579E-01  +9.2398E+01    
+1.9953E+00  +2.0324E-01  +8.0903E+01    
+2.5119E+00  +1.9281E-01  +6.9528E+01    
+3.1623E+00  +1.7626E-01  +5.8776E+01    
+3.9811E+00  +1.5517E-01  +4.8832E+01    
+5.0119E+00  +1.3285E-01  +4.0242E+01    
+6.3095E+00  +1.1133E-01  +3.2601E+01    
+7.9430E+00  +9.1378E-02  +2.6304E+01    
+1.0000E+01  +7.4207E-02  +2.0939E+01    
+1.2589E+01  +5.9786E-02  +1.6723E+01    
+1.5849E+01  +4.7948E-02  +1.3381E+01    
+1.9952E+01  +3.8352E-02  +1.0546E+01    
+2.5119E+01  +3.0618E-02  +8.3158E+00    
+3.1623E+01  +2.4310E-02  +6.5074E+00    
+3.9810E+01  +1.9367E-02  +5.0211E+00    
+5.0118E+01  +1.5091E-02  +3.0628E+00    
+6.3095E+01  +1.2242E-02  +2.9268E+00    
+7.9430E+01  +9.7303E-03  +2.1166E+00    
+1.0000E+02  +7.7367E-03  +1.3731E+00    
+1.2589E+02  +6.1389E-03  +7.2369E-01    
+1.5849E+02  +4.8691E-03  +4.7325E-02    
+1.9952E+02  +3.8769E-03  -4.3618E-01    
+2.5119E+02  +3.0846E-03  -1.0406E+00    
+3.1622E+02  +2.4403E-03  -2.0882E+00    
+3.9810E+02  +1.9302E-03  -2.5652E+00    
+5.0118E+02  +1.5334E-03  -3.3355E+00    
+6.3095E+02  +1.2182E-03  -4.3334E+00    
+7.9430E+02  +9.6703E-04  -5.5431E+00    
+1.0000E+03  +7.6653E-04  -7.1046E+00    
+1.2589E+03  +6.0738E-04  -9.0256E+00    
+1.5849E+03  +4.8058E-04  -1.1436E+01    
+1.9952E+03  +3.7975E-04  -1.4531E+01    
+2.5118E+03  +2.9620E-04  -1.8626E+01    
+3.1622E+03  +2.3072E-04  -2.3363E+01    
+3.9810E+03  +1.7587E-04  -2.9875E+01    
+5.0118E+03  +1.2540E-04  -3.7268E+01    
+6.3094E+03  +8.7583E-05  -3.7655E+01    
+7.9430E+03  +6.9953E-05  -4.1333E+01    
+1.0000E+04  +5.3498E-05  -5.0096E+01    
    
