Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 336    Date: 29/04/08    Time: 10:08:03



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9736E-01  +8.8453E+01    
+1.2589E-01  +1.9744E-01  +8.8053E+01    
+1.5849E-01  +1.9733E-01  +8.7545E+01    
+1.9953E-01  +1.9736E-01  +8.6945E+01    
+2.5119E-01  +1.9721E-01  +8.6146E+01    
+3.1623E-01  +1.9706E-01  +8.5188E+01    
+3.9811E-01  +1.9636E-01  +8.3988E+01    
+5.0119E-01  +1.9566E-01  +8.2381E+01    
+6.3095E-01  +1.9509E-01  +8.0296E+01    
+7.9430E-01  +1.9316E-01  +7.8111E+01    
+1.0000E+00  +1.8968E-01  +7.5091E+01    
+1.2589E+00  +1.8720E-01  +7.1560E+01    
+1.5849E+00  +1.8232E-01  +6.7432E+01    
+1.9952E+00  +1.7439E-01  +6.2241E+01    
+2.5119E+00  +1.6424E-01  +5.6451E+01    
+3.1623E+00  +1.5162E-01  +5.0215E+01    
+3.9810E+00  +1.3583E-01  +4.3520E+01    
+5.0118E+00  +1.1902E-01  +3.6965E+01    
+6.3095E+00  +1.0156E-01  +3.0778E+01    
+7.9430E+00  +8.5138E-02  +2.5602E+01    
+1.0000E+01  +7.0009E-02  +2.0730E+01    
+1.2589E+01  +5.6990E-02  +1.6599E+01    
+1.5849E+01  +4.5980E-02  +1.3381E+01    
+1.9952E+01  +3.6935E-02  +1.0580E+01    
+2.5119E+01  +2.9481E-02  +8.3976E+00    
+3.1622E+01  +2.3499E-02  +6.5646E+00    
+3.9810E+01  +1.8746E-02  +5.1743E+00    
+5.0118E+01  +1.5258E-02  +4.1184E+00    
+6.3095E+01  +1.1857E-02  +3.0766E+00    
+7.9430E+01  +9.4222E-03  +2.0908E+00    
+1.0000E+02  +7.4852E-03  +1.3797E+00    
+1.2589E+02  +5.9507E-03  +6.8857E-01    
+1.5849E+02  +4.7227E-03  +1.9493E-01    
+1.9952E+02  +3.7514E-03  -5.3573E-01    
+2.5118E+02  +2.9754E-03  -1.1258E+00    
+3.1622E+02  +2.3661E-03  -1.8402E+00    
+3.9810E+02  +1.8777E-03  -2.6124E+00    
+5.0118E+02  +1.4919E-03  -3.4540E+00    
+6.3094E+02  +1.1834E-03  -4.5795E+00    
+7.9430E+02  +9.3792E-04  -5.9418E+00    
+1.0000E+03  +7.4407E-04  -7.6191E+00    
+1.2589E+03  +5.8919E-04  -9.6489E+00    
+1.5849E+03  +4.6485E-04  -1.2238E+01    
+1.9952E+03  +3.6630E-04  -1.5440E+01    
+2.5118E+03  +2.8778E-04  -1.9381E+01    
+3.1622E+03  +2.2319E-04  -2.4841E+01    
+3.9810E+03  +1.6898E-04  -3.1309E+01    
+5.0117E+03  +1.2192E-04  -3.8431E+01    
+6.3094E+03  +8.5989E-05  -4.1564E+01    
+7.9430E+03  +6.5532E-05  -4.5940E+01    
+9.9995E+03  +4.8926E-05  -5.4064E+01    
+1.0000E+04  +4.8926E-05  -5.4060E+01    
                                         
                               
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8648E-01  +1.1283E+02    
+1.2589E+00  +1.9847E-01  +1.0176E+02    
+1.5849E+00  +2.0296E-01  +9.0389E+01    
+1.9953E+00  +1.9935E-01  +7.9080E+01    
+2.5119E+00  +1.8835E-01  +6.7979E+01    
+3.1623E+00  +1.7148E-01  +5.7491E+01    
+3.9811E+00  +1.5068E-01  +4.7783E+01    
+5.0119E+00  +1.2889E-01  +3.9283E+01    
+6.3095E+00  +1.0769E-01  +3.1910E+01    
+7.9430E+00  +8.8661E-02  +2.5781E+01    
+1.0000E+01  +7.1993E-02  +2.0631E+01    
+1.2589E+01  +5.8039E-02  +1.6461E+01    
+1.5849E+01  +4.6490E-02  +1.3104E+01    
+1.9952E+01  +3.7190E-02  +1.0363E+01    
+2.5119E+01  +2.9653E-02  +8.1459E+00    
+3.1623E+01  +2.3613E-02  +6.3667E+00    
+3.9810E+01  +1.8782E-02  +4.9953E+00    
+5.0118E+01  +1.5221E-02  +4.0447E+00    
+6.3095E+01  +1.1863E-02  +2.7894E+00    
+7.9430E+01  +9.4325E-03  +2.0275E+00    
+1.0000E+02  +7.4948E-03  +1.3321E+00    
+1.2589E+02  +5.9541E-03  +6.7328E-01    
+1.5849E+02  +4.7226E-03  -3.8131E-02    
+1.9952E+02  +3.7551E-03  -5.3136E-01    
+2.5119E+02  +2.9814E-03  -1.1089E+00    
+3.1622E+02  +2.3681E-03  -1.8313E+00    
+3.9810E+02  +1.8815E-03  -2.5201E+00    
+5.0118E+02  +1.4946E-03  -3.4888E+00    
+6.3095E+02  +1.1852E-03  -4.5466E+00    
+7.9430E+02  +9.4051E-04  -5.9195E+00    
+1.0000E+03  +7.4491E-04  -7.5857E+00    
+1.2589E+03  +5.8972E-04  -9.6044E+00    
+1.5849E+03  +4.6575E-04  -1.2208E+01    
+1.9952E+03  +3.6694E-04  -1.5327E+01    
+2.5118E+03  +2.8838E-04  -1.9328E+01    
+3.1622E+03  +2.2387E-04  -2.4864E+01    
+3.9810E+03  +1.6933E-04  -3.1302E+01    
+5.0118E+03  +1.2218E-04  -3.8393E+01    
+6.3094E+03  +8.6227E-05  -4.1550E+01    
+7.9430E+03  +6.5654E-05  -4.5919E+01    
+1.0000E+04  +4.9007E-05  -5.4010E+01    
  
