Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 105    Date: 02/02/11    Time: 11:16:12


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9992E-01  +8.8538E+01   
+1.2328E-01  +1.9993E-01  +8.8198E+01    
+1.5199E-01  +1.9977E-01  +8.7831E+01    
+1.8738E-01  +1.9958E-01  +8.7343E+01    
+2.3101E-01  +1.9967E-01  +8.6707E+01    
+2.8480E-01  +1.9947E-01  +8.5949E+01    
+3.5112E-01  +1.9936E-01  +8.5029E+01    
+4.3288E-01  +1.9884E-01  +8.3873E+01    
+5.3367E-01  +1.9833E-01  +8.2513E+01    
+6.5790E-01  +1.9732E-01  +8.0848E+01    
+8.1110E-01  +1.9610E-01  +7.8754E+01    
+1.0000E+00  +1.9402E-01  +7.6296E+01    
+1.2329E+00  +1.9109E-01  +7.3276E+01    
+1.5199E+00  +1.8744E-01  +6.9696E+01    
+1.8738E+00  +1.8207E-01  +6.5390E+01    
+2.3101E+00  +1.7414E-01  +6.0633E+01    
+2.8481E+00  +1.6361E-01  +5.5110E+01    
+3.5112E+00  +1.5197E-01  +4.9548E+01    
+4.3288E+00  +1.3762E-01  +4.3577E+01    
+5.3368E+00  +1.2206E-01  +3.7752E+01    
+6.5790E+00  +1.0601E-01  +3.2087E+01    
+8.1110E+00  +9.0443E-02  +2.6934E+01    
+1.0000E+01  +7.6077E-02  +2.2344E+01    
+1.2329E+01  +6.3356E-02  +1.8427E+01    
+1.5199E+01  +5.2355E-02  +1.5096E+01    
+1.8738E+01  +4.2827E-02  +1.2223E+01    
+2.3102E+01  +3.5086E-02  +9.9661E+00    
+2.8481E+01  +2.8609E-02  +7.8898E+00    
+3.5112E+01  +2.3365E-02  +6.3933E+00    
+4.3288E+01  +1.8944E-02  +5.5729E+00    
+5.3368E+01  +1.5383E-02  +3.9332E+00    
+6.5790E+01  +1.2513E-02  +3.0134E+00    
+8.1110E+01  +1.0132E-02  +2.2996E+00    
+1.0000E+02  +8.2330E-03  +1.6121E+00    
+1.2329E+02  +6.6728E-03  +9.4819E-01    
+1.5199E+02  +5.4061E-03  +7.1069E-01    
+1.8739E+02  +4.3844E-03  -2.0995E-01    
+2.3102E+02  +3.5621E-03  -7.5754E-01    
+2.8481E+02  +2.8907E-03  -1.4053E+00    
+3.5113E+02  +2.3402E-03  -2.1107E+00    
+4.3289E+02  +1.8990E-03  -2.7289E+00    
+5.3368E+02  +1.5399E-03  -3.5853E+00    
+6.5790E+02  +1.2490E-03  -4.6283E+00    
+8.1120E+02  +1.0127E-03  -5.8677E+00    
+1.0000E+03  +8.2160E-04  -7.2814E+00    
+1.2329E+03  +6.6631E-04  -9.1458E+00    
+1.5200E+03  +5.3931E-04  -1.1499E+01    
+1.8739E+03  +4.3626E-04  -1.4400E+01    
+2.3102E+03  +3.5260E-04  -1.7950E+01    
+2.8481E+03  +2.8146E-04  -2.2782E+01    
+3.5113E+03  +2.2282E-04  -2.8364E+01    
+4.3289E+03  +1.7310E-04  -3.5403E+01    
+5.3369E+03  +1.2842E-04  -4.3781E+01    
