
 Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 325    Date: 08/04/13    Time: 08:33:56


 FREQUENCY    MAGNITUDE      PHASE        
    Hz                     deg            
Chopper On                                
+1.0000E-01  +1.9985E-01  +8.8555E+01     
+1.2328E-01  +1.9984E-01  +8.8228E+01     
+1.5199E-01  +1.9971E-01  +8.7819E+01     
+1.8738E-01  +1.9970E-01  +8.7354E+01     
+2.3101E-01  +1.9952E-01  +8.6746E+01     
+2.8480E-01  +1.9934E-01  +8.6012E+01     
+3.5112E-01  +1.9906E-01  +8.5092E+01     
+4.3288E-01  +1.9865E-01  +8.3870E+01     
+5.3367E-01  +1.9817E-01  +8.2616E+01     
+6.5790E-01  +1.9728E-01  +8.0903E+01     
+8.1110E-01  +1.9600E-01  +7.8870E+01     
+1.0000E+00  +1.9428E-01  +7.6428E+01     
+1.2329E+00  +1.9139E-01  +7.3340E+01     
+1.5199E+00  +1.8750E-01  +6.9887E+01     
+1.8738E+00  +1.8191E-01  +6.5747E+01     
+2.3101E+00  +1.7449E-01  +6.0945E+01     
+2.8481E+00  +1.6535E-01  +5.5753E+01     
+3.5112E+00  +1.5257E-01  +4.9892E+01     
+4.3288E+00  +1.3824E-01  +4.3898E+01     
+5.3368E+00  +1.2256E-01  +3.7894E+01     
+6.5790E+00  +1.0674E-01  +3.2321E+01     
+8.1110E+00  +9.1063E-02  +2.7077E+01     
+1.0000E+01  +7.6711E-02  +2.2577E+01     
+1.2329E+01  +6.3805E-02  +1.8547E+01     
+1.5199E+01  +5.2729E-02  +1.5226E+01     
+1.8738E+01  +4.3305E-02  +1.2393E+01     
+2.3102E+01  +3.5432E-02  +1.0130E+01     
+2.8481E+01  +2.8878E-02  +8.1208E+00     
+3.5112E+01  +2.3468E-02  +6.3027E+00     
+4.3288E+01  +1.8970E-02  +5.8585E+00     
+5.3368E+01  +1.5540E-02  +4.0562E+00     
+6.5790E+01  +1.2557E-02  +3.1093E+00     
+8.1110E+01  +1.0232E-02  +2.2828E+00     
+1.0000E+02  +8.2969E-03  +1.5898E+00     
+1.2329E+02  +6.7346E-03  +9.3821E-01     
+1.5199E+02  +5.4635E-03  +1.2206E-01     
+1.8739E+02  +4.4310E-03  -1.6149E-01     
+2.3102E+02  +3.5933E-03  -7.5891E-01     
+2.8481E+02  +2.9154E-03  -1.3799E+00     
+3.5113E+02  +2.3617E-03  -1.9643E+00     
+4.3289E+02  +1.9148E-03  -2.7851E+00     
+5.3368E+02  +1.5526E-03  -3.6508E+00     
+6.5790E+02  +1.2582E-03  -4.6820E+00     
+8.1120E+02  +1.0193E-03  -5.9141E+00     
+1.0000E+03  +8.2560E-04  -7.3932E+00     
+1.2329E+03  +6.6751E-04  -9.1876E+00     
+1.5200E+03  +5.3916E-04  -1.1350E+01     
+1.8739E+03  +4.3538E-04  -1.3920E+01     
+2.3102E+03  +3.5377E-04  -1.7020E+01     
+2.8481E+03  +2.8246E-04  -2.2324E+01     
+3.5113E+03  +2.2208E-04  -2.7292E+01     
+4.3289E+03  +1.7310E-04  -3.3366E+01     
+5.3369E+03  +1.3131E-04  -4.0579E+01     
