      MEASURED                       ESTIMATED
     20.0000    1.00000
   0.0061   0.0062   0.0098   0.0109      0.0068   0.0054   0.0099   0.0108
  -0.0160  -0.0145   0.0032   0.0057     -0.0156  -0.0150   0.0035   0.0055
    0.0003036    0.0005132
    0.0007573    0.0002300
     26.6666    1.00000
   0.0055   0.0054   0.0087   0.0096      0.0061   0.0048   0.0087   0.0095
  -0.0145  -0.0131   0.0027   0.0051     -0.0142  -0.0134   0.0030   0.0048
    0.0002697    0.0004529
    0.0006836    0.0002012
     40.0000    1.00000
   0.0049   0.0048   0.0076   0.0084      0.0054   0.0043   0.0076   0.0084
  -0.0127  -0.0115   0.0019   0.0039     -0.0125  -0.0118   0.0021   0.0037
    0.0002397    0.0003981
    0.0006015    0.0001524
     53.3333    1.00000
   0.0041   0.0042   0.0061   0.0070      0.0045   0.0037   0.0061   0.0070
  -0.0107  -0.0101   0.0012   0.0032     -0.0105  -0.0103   0.0015   0.0030
    0.0002038    0.0003250
    0.0005144    0.0001201
     80.0000    1.00000
   0.0031   0.0035   0.0047   0.0057      0.0035   0.0032   0.0047   0.0057
  -0.0083  -0.0086   0.0007   0.0022     -0.0082  -0.0087   0.0009   0.0020
    0.0001647    0.0002591
    0.0004186    0.0000796
