11
20            1.0000
2.000000E+01  (    638.75,    -49.90)    0.0099    0.0049
2.666700E+01  (    667.09,    -50.00)    0.0129    0.0064
4.000000E+01  (    713.87,    -50.20)    0.0196    0.0098
5.333299E+01  (    632.45,    -51.90)    0.0147    0.0073
8.000000E+01  (    566.35,    -53.20)    0.0122    0.0061
1.066700E+02  (    580.25,    -54.30)    0.0111    0.0055
1.600000E+02  (    582.05,    -55.50)    0.0135    0.0068
2.133300E+02  (    524.81,    -57.10)    0.0155    0.0078
3.200000E+02  (    412.10,    -58.60)    0.0158    0.0079
4.266699E+02  (    425.71,    -59.80)    0.0117    0.0058
6.400000E+02  (    372.47,    -61.40)    0.0154    0.0077
8.533297E+02  (    340.86,    -63.00)    0.0178    0.0089
1.280000E+03  (    239.81,    -64.80)    0.0148    0.0074
1.706700E+03  (    249.68,    -64.70)    0.0166    0.0083
2.560000E+03  (    182.20,    -66.70)    0.0227    0.0114
3.413300E+03  (    154.84,    -66.00)    0.0239    0.0120
5.120000E+03  (    129.36,    -65.70)    0.0561    0.0281
6.826698E+03  (    127.59,    -69.80)    0.0328    0.0164
1.024000E+04  (     78.19,    -61.10)    0.0702    0.0351
1.365300E+04  (     93.46,    -63.00)    0.0654    0.0327
20            1.0000
2.000000E+01  (    198.29,    -51.50)    0.0148    0.0074
2.666700E+01  (    222.06,    -51.60)    0.0142    0.0071
4.000000E+01  (    231.90,    -51.30)    0.0125    0.0062
5.333299E+01  (    223.73,    -52.70)    0.0111    0.0055
8.000000E+01  (    200.11,    -53.20)    0.0164    0.0082
1.066700E+02  (    206.02,    -54.40)    0.0097    0.0049
1.600000E+02  (    195.89,    -54.00)    0.0125    0.0062
2.133300E+02  (    172.47,    -56.20)    0.0117    0.0059
3.200000E+02  (    162.50,    -59.10)    0.0144    0.0072
4.266699E+02  (    159.78,    -61.40)    0.0110    0.0055
6.400000E+02  (    141.48,    -62.60)    0.0158    0.0079
8.533297E+02  (    118.56,    -67.30)    0.0141    0.0071
1.280000E+03  (     98.82,    -70.80)    0.0242    0.0121
1.706700E+03  (    100.50,    -67.60)    0.0216    0.0108
2.560000E+03  (     64.48,    -73.40)    0.0286    0.0143
3.413300E+03  (     55.52,    -67.40)    0.0306    0.0153
5.120000E+03  (     63.24,    -68.20)    0.0494    0.0247
6.826698E+03  (     78.30,    -69.30)    0.0593    0.0296
1.024000E+04  (     79.81,    -88.90)    0.0478    0.0239
1.365300E+04  (     66.43,    -88.00)    0.0767    0.0384
20            1.0000
2.000000E+01  (   1370.30,    -52.30)    0.0158    0.0079
2.666700E+01  (   1494.40,    -52.70)    0.0169    0.0085
4.000000E+01  (   1589.30,    -52.20)    0.0173    0.0086
5.333299E+01  (   1437.70,    -52.50)    0.0184    0.0092
8.000000E+01  (   1374.50,    -52.60)    0.0201    0.0100
1.066700E+02  (   1366.00,    -53.80)    0.0152    0.0076
1.600000E+02  (   1439.70,    -54.40)    0.0206    0.0103
2.133300E+02  (   1298.80,    -55.30)    0.0168    0.0084
3.200000E+02  (   1088.40,    -57.00)    0.0168    0.0084
4.266699E+02  (   1102.30,    -58.00)    0.0139    0.0070
6.400000E+02  (   1040.90,    -58.20)    0.0186    0.0093
8.533297E+02  (    847.54,    -61.40)    0.0174    0.0087
1.280000E+03  (    705.98,    -60.70)    0.0150    0.0075
1.706700E+03  (    701.01,    -61.10)    0.0169    0.0084
2.560000E+03  (    457.21,    -60.20)    0.0204    0.0102
3.413300E+03  (    495.46,    -61.20)    0.0237    0.0119
5.120000E+03  (    344.07,    -67.50)    0.0431    0.0216
6.826698E+03  (    321.98,    -68.70)    0.0689    0.0345
1.024000E+04  (    198.66,    -68.70)    0.0670    0.0335
1.365300E+04  (    289.33,    -67.10)    0.0677    0.0339
20            1.0000
2.000000E+01  (    338.31,    -56.30)    0.0128    0.0064
2.666700E+01  (    349.79,    -56.00)    0.0145    0.0072
4.000000E+01  (    367.76,    -54.20)    0.0163    0.0082
5.333299E+01  (    315.72,    -53.00)    0.0167    0.0083
8.000000E+01  (    289.75,    -52.60)    0.0110    0.0055
1.066700E+02  (    305.04,    -53.10)    0.0114    0.0057
1.600000E+02  (    332.91,    -53.90)    0.0114    0.0057
2.133300E+02  (    287.41,    -55.50)    0.0151    0.0075
3.200000E+02  (    248.96,    -57.50)    0.0182    0.0091
4.266699E+02  (    247.69,    -58.80)    0.0151    0.0076
6.400000E+02  (    229.48,    -60.30)    0.0137    0.0069
8.533297E+02  (    191.68,    -61.90)    0.0157    0.0078
1.280000E+03  (    147.39,    -64.70)    0.0163    0.0081
1.706700E+03  (    149.85,    -64.80)    0.0111    0.0055
2.560000E+03  (    105.27,    -64.90)    0.0199    0.0100
3.413300E+03  (     96.54,    -64.80)    0.0140    0.0070
5.120000E+03  (     56.57,    -68.40)    0.0178    0.0089
6.826698E+03  (     55.74,    -69.80)    0.0235    0.0117
1.024000E+04  (     30.58,    -66.00)    0.0260    0.0130
1.365300E+04  (     36.76,    -67.40)    0.0383    0.0192
20            1.0000
2.000000E+01  (   1208.80,    -60.80)    0.0186    0.0093
2.666700E+01  (   1229.30,    -59.80)    0.0156    0.0078
4.000000E+01  (   1289.70,    -57.50)    0.0175    0.0087
5.333299E+01  (   1066.30,    -55.00)    0.0224    0.0112
8.000000E+01  (   1044.60,    -53.50)    0.0179    0.0090
1.066700E+02  (   1059.10,    -54.00)    0.0170    0.0085
1.600000E+02  (   1140.60,    -55.00)    0.0120    0.0060
2.133300E+02  (    977.72,    -56.60)    0.0154    0.0077
3.200000E+02  (    862.48,    -58.90)    0.0224    0.0112
4.266699E+02  (    814.67,    -60.10)    0.0235    0.0117
6.400000E+02  (    751.34,    -62.80)    0.0188    0.0094
8.533297E+02  (    611.35,    -63.90)    0.0167    0.0083
1.280000E+03  (    460.03,    -66.30)    0.0131    0.0065
1.706700E+03  (    441.35,    -67.40)    0.0152    0.0076
2.560000E+03  (    361.19,    -67.40)    0.0141    0.0070
3.413300E+03  (    299.99,    -67.60)    0.0215    0.0107
5.120000E+03  (    200.27,    -65.10)    0.0205    0.0102
6.826698E+03  (    174.13,    -64.70)    0.0189    0.0095
1.024000E+04  (    124.62,    -62.50)    0.0231    0.0116
1.365300E+04  (    140.29,    -61.60)    0.0204    0.0102
20            1.0000
2.000000E+01  (   1503.30,    -63.00)    0.0112    0.0056
2.666700E+01  (   1321.20,    -63.20)    0.0225    0.0112
4.000000E+01  (   1255.80,    -60.20)    0.0156    0.0078
5.333299E+01  (   1091.30,    -58.60)    0.0122    0.0061
8.000000E+01  (   1046.40,    -54.10)    0.0194    0.0097
1.066700E+02  (   1083.70,    -53.00)    0.0174    0.0087
1.600000E+02  (   1149.50,    -51.50)    0.0189    0.0095
2.133300E+02  (   1106.10,    -52.90)    0.0169    0.0085
3.200000E+02  (    965.11,    -54.50)    0.0162    0.0081
4.266699E+02  (    980.75,    -55.90)    0.0117    0.0058
6.400000E+02  (    955.91,    -58.70)    0.0210    0.0105
8.533297E+02  (    829.27,    -61.60)    0.0175    0.0088
1.280000E+03  (    776.55,    -59.00)    0.0382    0.0191
1.706700E+03  (    651.01,    -63.70)    0.0406    0.0203
2.560000E+03  (    546.53,    -67.10)    0.0480    0.0240
3.413300E+03  (    427.13,    -71.30)    0.0600    0.0300
5.120000E+03  (    157.28,    -64.40)    0.0969    0.0485
