# Written by dcmp2j: input file >strike_example.dcmp
# date: Tue Jan 12 18:55:32 1999
#
#
# azimuth of original data:      0.0000000
#
# The azimuth listed under AZIMUTH is the average value
#
# average distortion parameters:
# azimuth:     62.9334755
# shear  :     39.3329773
# twist  :    -15.5625343
# chann  :    -40.2512856
# error  :    407.1073303
#
#     Period       Azim    Shear   Twist   Chann     Error
#      4.0000000    85.5    37.1   -84.9   -35.5    118.6819992
#      5.3333001    85.5    37.1   -84.9   -35.5     93.7064972
#      8.0000000    85.5    37.1   -84.9   -35.5    142.7129974
#     10.6669998    87.3    38.6   -84.6   -36.9    110.9479980
#     16.0000000    87.3    38.6   -84.6   -36.9    620.3800049
#     20.0000000    87.3    38.6   -84.6   -36.9   1142.1800537
#     26.6669998    87.3    38.6   -84.6   -36.9   1172.9599609
#     40.0000000    87.3    38.6   -84.6   -36.9   1426.8800049
#     53.3330002    87.3    38.6   -84.6   -36.9   1098.8299561
#     80.0000000    87.3    38.6   -84.6   -36.9   1512.5400391
#    106.6699982    71.8    40.4   -86.8   -23.6    249.2440033
#    160.0000000    71.8    40.4   -86.8   -23.6    388.4089966
#    213.3300018    71.8    40.4   -86.8   -23.6    128.1940002
#    320.0000000    71.8    40.4   -86.8   -23.6    204.2799988
#    426.6700134    71.8    40.4   -86.8   -23.6    362.2489929
#    640.0000000    71.8    40.4   -86.8   -23.6    265.9790039
#    853.3300171    71.8    40.4   -86.8   -23.6    162.5240021
#   1280.0000000    12.8    40.1    88.2    28.7     24.1865997
#   1706.6999512    12.8    40.1    88.2    28.7    128.2510071
#   2560.0000000    12.8    40.1    88.2    28.7      1.9376200
#   3413.3000488    12.8    40.1    88.2    28.7      6.8066301
#   5120.0000000    12.8    40.1    88.2    28.7      0.5138780
#   6826.7001953    12.8    40.1    88.2    28.7      1.0733200
#
# Written by strike - version = v3.0
# date: Fri Jan  8 15:09:47 1999
#
# input file >strike_example.dat
#
# bounds on distortion parameters:
# azimuth:-360.0 -  360.0
# shear  : -45.0 -   45.0
# twist  : -60.0 -   60.0
#
# Site list : strike_example.dat
#
#
# Example input file for strike
#
>STATION_RR:
>AZIMUTH   =     62.9335
>LATITUDE  =         0.0
>LONGITUDE =         0.0
>ELEVATION =         0.0
strike_exam   AZIM   62.93 SHEAR   39.33  CHANN  -40.25  TWIST  -15.56
RXY
   23
 4.0000       9933.2       36.2 0.1011E+05  9756.        36.8   35.6 1.00 1.00
 5.3333       12786.       33.9 0.1287E+05 0.1270E+05    34.2   33.7 1.00 1.00
 8.0000       14378.       39.6 0.1451E+05 0.1425E+05    39.8   39.4 1.00 1.00
 10.667       13221.       41.4 0.1332E+05 0.1312E+05    41.5   41.2 1.00 1.00
 16.000       12650.       43.1 0.1277E+05 0.1253E+05    43.4   42.9 1.00 1.00
 20.000       14568.       45.8 0.1467E+05 0.1447E+05    46.0   45.6 1.00 1.00
 26.667       14131.       48.1 0.1420E+05 0.1407E+05    48.3   47.9 1.00 1.00
 40.000       13759.       51.7 0.1388E+05 0.1364E+05    51.9   51.4 1.00 1.00
 53.333       12424.       52.6 0.1255E+05 0.1230E+05    52.8   52.4 1.00 1.00
 80.000       11945.       55.4 0.1205E+05 0.1184E+05    55.6   55.3 1.00 1.00
 106.67       9917.9       56.0  9998.      9838.        56.2   55.8 1.00 1.00
 160.00       10598.       60.5 0.1069E+05 0.1051E+05    60.8   60.3 1.00 1.00
 213.33       7186.0       67.4  7246.      7127.        67.7   67.2 1.00 1.00
 320.00       5412.9       63.7  5456.      5371.        63.9   63.6 1.00 1.00
 426.67       4121.6       65.3  4160.      4083.        65.5   65.0 1.00 1.00
 640.00       3257.8       64.8  3298.      3218.        65.0   64.6 1.00 1.00
 853.33       3055.6       72.0  3090.      3022.        72.2   71.8 1.00 1.00
 1280.0       142.57       72.2  173.3      117.3        72.6   71.9 1.00 1.00
 1706.7       283.76       82.5  329.5      244.4        83.4   81.5 1.00 1.00
 2560.0       202.88       86.7  233.1      176.6        87.6   85.9 1.00 1.00
 3413.3       179.25       83.6  210.6      152.6        84.6   82.5 1.00 1.00
 5120.0       145.60       95.4  170.6      124.3        97.2   93.5 1.00 1.00
 6826.7       120.84       65.6  141.1      103.5        68.3   62.9 1.00 1.00
RYX
   23
 4.0000       1824.6     -130.4  1861.      1789.      -130.2 -130.6 1.00 1.00
 5.3333       1649.2     -119.3  1685.      1614.      -119.0 -119.5 1.00 1.00
 8.0000       2578.2     -126.2  2641.      2517.      -125.7 -126.7 1.00 1.00
 10.667       1999.4     -117.6  2028.      1971.      -117.2 -118.1 1.00 1.00
 16.000       1145.7     -101.7  1172.      1120.      -101.0 -102.5 1.00 1.00
 20.000       1755.4     -108.7  1774.      1737.      -108.5 -108.8 1.00 1.00
 26.667       1309.2     -101.2  1322.      1297.      -101.0 -101.4 1.00 1.00
 40.000       1113.6      -93.5  1126.      1102.       -93.4  -93.7 1.00 1.00
 53.333       807.07      -89.3  815.8      798.5       -89.0  -89.6 1.00 1.00
 80.000       561.70      -77.1  569.9      553.6       -76.7  -77.4 1.00 1.00
 106.67       1669.2     -111.5  1738.      1603.      -111.2 -111.8 1.00 1.00
 160.00       2594.7     -103.0  2697.      2496.      -102.7 -103.3 1.00 1.00
 213.33       933.69     -105.9  974.6      894.5      -105.2 -106.5 1.00 1.00
 320.00       725.67     -110.7  757.6      695.1      -110.3 -111.2 1.00 1.00
 426.67       800.51     -111.6  833.7      768.6      -111.2 -112.0 1.00 1.00
 640.00       435.20     -110.7  454.4      416.8      -110.1 -111.3 1.00 1.00
 853.33       382.84     -106.0  400.1      366.3      -105.3 -106.6 1.00 1.00
 1280.0       2248.8     -106.2  2281.      2218.      -106.0 -106.3 1.00 1.00
 1706.7       2403.8     -107.6  2442.      2366.      -107.4 -107.9 1.00 1.00
 2560.0       1756.5     -106.3  1787.      1727.      -106.1 -106.6 1.00 1.00
 3413.3       2021.7     -110.1  2046.      1997.      -109.8 -110.5 1.00 1.00
 5120.0       1493.7     -101.5  1521.      1467.      -101.2 -101.8 1.00 1.00
 6826.7       935.04     -105.5  950.0      920.4      -105.1 -105.8 1.00 1.00
