# Written by dcmp2j: input file >strike_example.dcmp
# date: Tue Jan 12 18:57:04 1999
#
#
# azimuth of original data:      0.0000000
#
# The azimuth listed under AZIMUTH is the average value
#
# average distortion parameters:
# azimuth:     62.9334755
# shear  :     39.3329773
# twist  :    -15.5625343
# chann  :    -40.2512856
# error  :    407.1073303
#
#     Period       Azim    Shear   Twist   Chann     Error
#      4.0000000    85.5    37.1   -84.9   -35.5    118.6819992
#      5.3333001    85.5    37.1   -84.9   -35.5     93.7064972
#      8.0000000    85.5    37.1   -84.9   -35.5    142.7129974
#     10.6669998    87.3    38.6   -84.6   -36.9    110.9479980
#     16.0000000    87.3    38.6   -84.6   -36.9    620.3800049
#     20.0000000    87.3    38.6   -84.6   -36.9   1142.1800537
#     26.6669998    87.3    38.6   -84.6   -36.9   1172.9599609
#     40.0000000    87.3    38.6   -84.6   -36.9   1426.8800049
#     53.3330002    87.3    38.6   -84.6   -36.9   1098.8299561
#     80.0000000    87.3    38.6   -84.6   -36.9   1512.5400391
#    106.6699982    71.8    40.4   -86.8   -23.6    249.2440033
#    160.0000000    71.8    40.4   -86.8   -23.6    388.4089966
#    213.3300018    71.8    40.4   -86.8   -23.6    128.1940002
#    320.0000000    71.8    40.4   -86.8   -23.6    204.2799988
#    426.6700134    71.8    40.4   -86.8   -23.6    362.2489929
#    640.0000000    71.8    40.4   -86.8   -23.6    265.9790039
#    853.3300171    71.8    40.4   -86.8   -23.6    162.5240021
#   1280.0000000    12.8    40.1    88.2    28.7     24.1865997
#   1706.6999512    12.8    40.1    88.2    28.7    128.2510071
#   2560.0000000    12.8    40.1    88.2    28.7      1.9376200
#   3413.3000488    12.8    40.1    88.2    28.7      6.8066301
#   5120.0000000    12.8    40.1    88.2    28.7      0.5138780
#   6826.7001953    12.8    40.1    88.2    28.7      1.0733200
#
# Written by strike - version = v3.0
# date: Fri Jan  8 15:09:47 1999
#
# input file >strike_example.dat
#
# bounds on distortion parameters:
# azimuth:-360.0 -  360.0
# shear  : -45.0 -   45.0
# twist  : -60.0 -   60.0
#
# Site list : strike_example.dat
#
#
# Example input file for strike
#
>STATION_RR:
>AZIMUTH   =     62.9335
>LATITUDE  =         0.0
>LONGITUDE =         0.0
>ELEVATION =         0.0
strike_exam   AZIM   62.93 SHEAR   39.33  CHANN  -40.25  TWIST  -15.56
RXY
   23
 4.0000       3419.4       36.2  3482.      3358.        36.8   35.6 1.00 1.00
 5.3333       4401.5       33.9  4432.      4372.        34.2   33.7 1.00 1.00
 8.0000       4949.7       39.6  4995.      4905.        39.8   39.4 1.00 1.00
 10.667       4551.3       41.4  4586.      4517.        41.5   41.2 1.00 1.00
 16.000       4354.8       43.1  4396.      4314.        43.4   42.9 1.00 1.00
 20.000       5014.8       45.8  5049.      4980.        46.0   45.6 1.00 1.00
 26.667       4864.5       48.1  4887.      4842.        48.3   47.9 1.00 1.00
 40.000       4736.5       51.7  4777.      4697.        51.9   51.4 1.00 1.00
 53.333       4276.9       52.6  4320.      4234.        52.8   52.4 1.00 1.00
 80.000       4111.9       55.4  4147.      4077.        55.6   55.3 1.00 1.00
 106.67       3414.2       56.0  3442.      3387.        56.2   55.8 1.00 1.00
 160.00       3648.5       60.5  3679.      3618.        60.8   60.3 1.00 1.00
 213.33       2473.7       67.4  2494.      2453.        67.7   67.2 1.00 1.00
 320.00       1863.4       63.7  1878.      1849.        63.9   63.6 1.00 1.00
 426.67       1418.8       65.3  1432.      1406.        65.5   65.0 1.00 1.00
 640.00       1121.5       64.8  1135.      1108.        65.0   64.6 1.00 1.00
 853.33       1051.9       72.0  1064.      1040.        72.2   71.8 1.00 1.00
 1280.0       49.077       72.2  59.66      40.37        72.6   71.9 1.00 1.00
 1706.7       97.683       82.5  113.4      84.12        83.4   81.5 1.00 1.00
 2560.0       69.840       86.7  80.23      60.79        87.6   85.9 1.00 1.00
 3413.3       61.705       83.6  72.49      52.52        84.6   82.5 1.00 1.00
 5120.0       50.121       95.4  58.73      42.77        97.2   93.5 1.00 1.00
 6826.7       41.598       65.6  48.59      35.61        68.3   62.9 1.00 1.00
RYX
   23
 4.0000       5300.4     -130.4  5406.      5197.      -130.2 -130.6 1.00 1.00
 5.3333       4790.8     -119.3  4894.      4689.      -119.0 -119.5 1.00 1.00
 8.0000       7489.6     -126.2  7671.      7312.      -125.7 -126.7 1.00 1.00
 10.667       5808.2     -117.6  5891.      5726.      -117.2 -118.1 1.00 1.00
 16.000       3328.3     -101.7  3405.      3253.      -101.0 -102.5 1.00 1.00
 20.000       5099.3     -108.7  5153.      5046.      -108.5 -108.8 1.00 1.00
 26.667       3803.1     -101.2  3840.      3767.      -101.0 -101.4 1.00 1.00
 40.000       3235.0      -93.5  3270.      3200.       -93.4  -93.7 1.00 1.00
 53.333       2344.5      -89.3  2370.      2320.       -89.0  -89.6 1.00 1.00
 80.000       1631.7      -77.1  1656.      1608.       -76.7  -77.4 1.00 1.00
 106.67       4849.0     -111.5  5048.      4658.      -111.2 -111.8 1.00 1.00
 160.00       7537.5     -103.0  7834.      7252.      -102.7 -103.3 1.00 1.00
 213.33       2712.3     -105.9  2831.      2598.      -105.2 -106.5 1.00 1.00
 320.00       2108.0     -110.7  2201.      2019.      -110.3 -111.2 1.00 1.00
 426.67       2325.4     -111.6  2422.      2233.      -111.2 -112.0 1.00 1.00
 640.00       1264.2     -110.7  1320.      1211.      -110.1 -111.3 1.00 1.00
 853.33       1112.1     -106.0  1162.      1064.      -105.3 -106.6 1.00 1.00
 1280.0       6532.7     -106.2  6625.      6442.      -106.0 -106.3 1.00 1.00
 1706.7       6982.9     -107.6  7095.      6872.      -107.4 -107.9 1.00 1.00
 2560.0       5102.6     -106.3  5191.      5016.      -106.1 -106.6 1.00 1.00
 3413.3       5872.9     -110.1  5944.      5802.      -109.8 -110.5 1.00 1.00
 5120.0       4339.1     -101.5  4418.      4261.      -101.2 -101.8 1.00 1.00
 6826.7       2716.2     -105.5  2760.      2674.      -105.1 -105.8 1.00 1.00
